Row,Private_Peak_Rail,Private_Peak_Bus,Private_Peak_Air,Private_Peak_Car,Private_Offpeak_Rail,Private_Offpeak_Bus,Private_Offpeak_Air,Private_Offpeak_Car,Business_Peak_Rail,Business_Peak_Bus,Business_Peak_Air,Business_Peak_Car,Business_Offpeak_Rail,Business_Offpeak_Bus,Business_Offpeak_Air,Business_Offpeak_Car
ASCPrivatePeakRail,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
CostPrivatePeakRail,-2.58751728380343,1.99976411332974,NaN,1.99976411332974,0.65266855807834,0.652668558078311,NaN,0.652668558078325,0,0,NaN,0,0,0,NaN,0
DiscomfortPrivatePeakRail,-1.8558887348517,1.43270303631415,NaN,1.43270303631416,0.46877604875092,0.468776048750883,NaN,0.468776048750894,0,0,NaN,0,0,0,NaN,0
FirstWaitTimePeakRail,-0.0506732571947441,0.0390090061060347,NaN,0.0390090061060432,0.0128435060598145,0.0128435060598026,NaN,0.0128435060597841,-0.0644077616711385,0.204706956314729,NaN,0.204706956314731,0.0978873252168826,0.0978873252168878,NaN,0.0978873252168823
ASCPrivatePeakBus,0.104753177268573,-4.9790381313019,NaN,0.104753177268574,0.0344792283112671,0.034479228311238,NaN,0.0344792283112486,0,0,NaN,0,0,0,NaN,0
CostPrivatePeakBus,0.0508974892810009,-2.41936797137345,NaN,0.0508974892810447,0.0167568295015841,0.0167568295015588,NaN,0.0167568295015566,0,0,NaN,0,0,0,NaN,0
FirstWaitTimePeakBus,0.00791754854344632,-0.376372700610404,NaN,0.00791754854345396,0.00260717495494815,0.00260717495492323,NaN,0.00260717495493964,0.00506724291447483,-3.2375612129556,NaN,0.00506724291447065,0.00242438310231658,0.00242438310231496,NaN,0.00242438310231427
InVehPeakBus,0.0597303821980347,-2.83920256951601,NaN,0.05973038219804,0.0196640756006126,0.0196640756005792,NaN,0.0196640756005878,0.0181119395370409,-11.5720575911978,NaN,0.0181119395370446,0.00866520965527611,0.0086652096552719,NaN,0.0086652096552742
ASCPrivatePeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessCostPrivateAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessTimePrivatePeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
CostPrivatePeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
FirstWaitTimePeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
FrequencyWaitTimePeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
InVehPeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
ASCPrivatePeakCar,-0.812098031333844,-0.812098031333841,NaN,1.99143540396179,-0.268407225034106,-0.268407225034127,NaN,-0.268407225034132,0,0,NaN,0,0,0,NaN,0
CostPrivatePeakCar,1.21431475711491,1.21431475711492,NaN,-2.96806054670958,0.397707174594052,0.397707174594042,NaN,0.397707174594029,0,0,NaN,0,0,0,NaN,0
InVehPeakCar,1.9926989525834,1.99269895258343,NaN,-4.86459126740845,0.650383081052978,0.650383081052974,NaN,0.65038308105296,2.00831184567071,2.00831184567072,NaN,-8.21161412891709,0.955677454577885,0.95567745457789,NaN,0.955677454577882
ASCPrivateOffpeakRail,0.109321394694145,0.109321394694146,NaN,0.109321394694148,-0.395736832814835,0.324553592991733,NaN,0.324553592991713,0,0,NaN,0,0,0,NaN,0
CostPrivateOffpeakRail,0.55964881890447,0.559648818904478,NaN,0.559648818904473,-2.0325040616512,1.67127682669112,NaN,1.67127682669113,0,0,NaN,0,0,0,NaN,0
DiscomfortPrivateOffpeakRail,0.497026926831259,0.497026926831279,NaN,0.497026926831274,-1.80425777007572,1.48305572359029,NaN,1.48305572359028,0,0,NaN,0,0,0,NaN,0
FirstWaitTimeOffpeakRail,0.0254755132330826,0.0254755132330909,NaN,0.0254755132330804,-0.0921640891238665,0.0755492104437118,NaN,0.0755492104437148,0.0160640927343437,0.0160640927343759,NaN,0.0160640927343585,-0.291898991698478,0.210823046932957,NaN,0.210823046932959
ASCPrivateOffpeakBus,0.183155509619406,0.183155509619408,NaN,0.183155509619405,0.5442758829406,-3.73145588684653,NaN,0.54427588294056,0,0,NaN,0,0,0,NaN,0
CostPrivateOffpeakBus,0.0766692236146056,0.0766692236146108,NaN,0.0766692236146006,0.227518962228027,-1.56043650534705,NaN,0.227518962228032,0,0,NaN,0,0,0,NaN,0
FirstWaitTimeOffpeakBus,0.00303369062858733,0.0030336906285961,NaN,0.00303369062857748,0.00899396885098671,-0.0617016779773997,NaN,0.00899396885094847,0.0003770671173532,0.000377067117349518,NaN,0.000377067117351733,0.00493990289850071,-0.598684804196493,NaN,0.00493990289849862
InVehOffpeakBus,0.124635773726653,0.124635773726641,NaN,0.124635773726648,0.370092789442502,-2.53783198951214,NaN,0.370092789442486,0.00724259968416204,0.00724259968416911,NaN,0.00724259968416512,0.0949571393125038,-11.5041172675068,NaN,0.094957139312506
ASCPrivateOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessTimePrivateOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
CostPrivateOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
FirstWaitTimeOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
FrequencyWaitTimeOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
InVehOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
ASCPrivateOffpeakCar,-0.0714993279637038,-0.0714993279637045,NaN,-0.0714993279637044,-0.211768190419758,-0.211768190419794,NaN,0.985896252666168,0,0,NaN,0,0,0,NaN,0
CostPrivateOffpeakCar,0.247726783447147,0.247726783447172,NaN,0.247726783447157,0.736779699768562,0.736779699768556,NaN,-3.4258629127333,0,0,NaN,0,0,0,NaN,0
InVehOffpeakCar,0.338426809125392,0.338426809125391,NaN,0.33842680912538,1.00772774508416,1.00772774508412,NaN,-4.68406302264089,0.073744734458465,0.0737447344584857,NaN,0.0737447344584638,0.974106921910842,0.97410692191083,NaN,-7.52943789327841
ASCBusinessPeakRail,0,0,NaN,0,0,0,NaN,0,1.5164743570421,-4.80821565378956,NaN,-4.80821565378957,-2.33132074017859,-2.33132074017861,NaN,-2.3313207401786
CostBusinessPeakRail,0,0,NaN,0,0,0,NaN,0,-1.46494100164879,4.66555956217849,NaN,4.66555956217849,2.20454560534365,2.20454560534365,NaN,2.20454560534365
DiscomfortBusinessPeakRail,0,0,NaN,0,0,0,NaN,0,-1.53360322639197,4.88471647432018,NaN,4.8847164743202,2.30677103497278,2.30677103497279,NaN,2.30677103497279
ASCBusinessPeakBus,0,0,NaN,0,0,0,NaN,0,-0.00743429694677151,4.74992529890658,NaN,-0.00743429694677396,-0.00355700271882181,-0.00355700271883844,NaN,-0.00355700271883979
CostBusinessPeakBus,0,0,NaN,0,0,0,NaN,0,0.00218773486454734,-1.39778730902885,NaN,0.00218773486454227,0.00104671298977344,0.00104671298976599,NaN,0.00104671298977706
ASCBusinessPeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessCostBusinessAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessTimeBusinessPeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
CostBusinessPeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
ASCBusinessPeakCar,0,0,NaN,0,0,0,NaN,0,-1.56360207188151,-1.5636020718815,NaN,6.39646695069001,-0.751310638904859,-0.75131063890486,NaN,-0.751310638904862
CostBusinessPeakCar,0,0,NaN,0,0,0,NaN,0,0.921705951911582,0.921705951911589,NaN,-3.76924914419269,0.439888582623595,0.439888582623601,NaN,0.439888582623583
ASCBusinessOffpeakRail,0,0,NaN,0,0,0,NaN,0,-0.0395026970004804,-0.0395026970004962,NaN,-0.0395026970004985,0.716863824197447,-0.515222613591605,NaN,-0.515222613591586
CostBusinessOffpeakRail,0,0,NaN,0,0,0,NaN,0,0.171548340039175,0.171548340039185,NaN,0.171548340039191,-3.1288285886297,2.29126117058099,NaN,2.29126117058099
DiscomfortBusinessOffpeakRail,0,0,NaN,0,0,0,NaN,0,0.198323442205665,0.19832344220567,NaN,0.19832344220565,-3.61953868141674,2.65698333574445,NaN,2.65698333574446
ASCBusinessOffpeakBus,0,0,NaN,0,0,0,NaN,0,0.000391989088626228,0.000391989088629683,NaN,0.000391989088604219,0.00513540209505734,-0.622377583025545,NaN,0.00513540209505008
CostBusinessOffpeakBus,0,0,NaN,0,0,0,NaN,0,0.000874579176341311,0.000874579176354921,NaN,0.000874579176345806,0.0114583750876126,-1.388646452616,NaN,0.0114583750876235
ASCBusinessOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
AccessTimeBusinessOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
CostBusinessOffpeakAir,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0,0,0,NaN,0
ASCBusinessOffpeakCar,0,0,NaN,0,0,0,NaN,0,-0.0107821474891026,-0.0107821474890926,NaN,-0.0107821474891083,-0.141079420474091,-0.14107942047409,NaN,1.0958414218956
CostBusinessOffpeakCar,0,0,NaN,0,0,0,NaN,0,0.0406070237666435,0.0406070237666563,NaN,0.0406070237666649,0.534389700190175,0.534389700190161,NaN,-4.13856249824524
